"","X","county","latitude","longitude","year","month","pm","ozone","surface_pressure","precipitation","drought","fire_burnt_area","temperature","GDP","population","wind"
"511",511,"Los Angeles",34.6697,-118.1305,2017,7,9.6046410483871,87,928.070942521325,0.165270681763365,1,0,36.9040259576613,65.5619045319091,2488.59876847291,3.33394166431972
"512",512,"Los Angeles",34.6697,-118.1305,2017,8,8.34718262068965,78,927.311584259076,0.208456454452039,1,0,35.1263356854838,65.5619045319091,2488.59876847291,2.45398304564076
"513",513,"Los Angeles",34.6697,-118.1305,2017,9,7.39022156666667,84,926.844719549693,0.127435358788331,1,0,29.68984375,65.5619045319091,2488.59876847291,1.00957028278873
"514",514,"Los Angeles",34.6697,-118.1305,2017,10,7.96854835483871,73,929.038421196191,0.00475719035413283,1,0,26.649552671371,65.5619045319091,2488.59876847291,0.0861784638311212
"515",515,"Los Angeles",34.6697,-118.1305,2017,11,5.25703835,49,931.01275267804,0.0357133636973411,1,0,21.02314453125,65.5619045319091,2488.59876847291,1.59043912013537
"516",516,"Los Angeles",34.6697,-118.1305,2017,12,9.69811211290323,51,934.325804651855,0.00131761553822003,1,0,17.4984690020162,65.5619045319091,2488.59876847291,1.2105530221972
"517",517,"Los Angeles",33.8025,-118.22,2017,1,NA,40,1009.83414029954,4.47161835128535,2.8,0,15.9514364919355,65.5619045319091,2488.59876847291,0.854178617271778
"518",518,"Los Angeles",33.8025,-118.22,2017,2,NA,43,1008.45042079944,2.99030813056586,0.5,0,16.38466796875,65.5619045319091,2488.59876847291,0.800317222433247
"519",519,"Los Angeles",33.8025,-118.22,2017,3,NA,57,1008.91728550883,0.229476078327058,0,0,21.3818485383065,65.5619045319091,2488.59876847291,1.41468252516056
"520",520,"Los Angeles",33.8025,-118.22,2017,4,NA,62,1005.94735097203,0.085013936058748,0,0,23.1162760416667,65.5619045319091,2488.59876847291,2.10517304924596
"521",521,"Los Angeles",33.8025,-118.22,2017,5,NA,68,1004.41175981948,0.313172398847586,0,0,22.124162046371,65.5619045319091,2488.59876847291,2.2370871823506
"522",522,"Los Angeles",33.8025,-118.22,2017,6,NA,49,1003.02241544336,0.0873069859360226,0,0,24.8671223958333,65.5619045319091,2488.59876847291,2.44493617185717
"523",523,"Los Angeles",33.8025,-118.22,2017,7,NA,47,1004.8898742809,0.193933805229298,0,0,27.480386844758,65.5619045319091,2488.59876847291,2.43801315832424
"524",524,"Los Angeles",33.8025,-118.22,2017,8,NA,51,1003.71427519341,0.101829635158764,0,0,27.763558467742,65.5619045319091,2488.59876847291,2.42490532630839
"525",525,"Los Angeles",33.8025,-118.22,2017,9,NA,63,1003.07303932751,0.230240428286149,0,0,26.9017252604167,65.5619045319091,2488.59876847291,1.93837094391073
